==================== hub-database.json
      - [leaf] /数据库/学习路径/教程宪法/统一样例与课模板 | id=db-constitution | content=1503 | ok
      - [leaf] /机器学习/算法/基础范式/学习范式/无监督学习 | id=ml-unsupervised | content=1724 | ok
      - [leaf] /机器学习/算法/基础范式/学习范式/半监督学习 | id=ml-semisupervised | content=1760 | ok
      - [leaf] /机器学习/算法/基础范式/学习范式/强化学习入门 | id=ml-rl-intro | content=1613 | ok
      - [leaf] /机器学习/算法/基础范式/训练纪律/训练流水线 | id=ml-pipeline | content=1883 | ok
      - [leaf] /机器学习/算法/基础范式/训练纪律/偏差与方差 | id=ml-bias-variance | content=1670 | ok
      - [leaf] /机器学习/算法/基础范式/训练纪律/过拟合与正则 | id=ml-overfit-reg | content=1698 | ok
      - [leaf] /机器学习/算法/基础范式/训练纪律/训练/验证/测试 | id=ml-train-val-test | content=1172 | ok
      - [leaf] /机器学习/算法/特征工程/特征构建/特征工程总览 | id=ml-feature-eng | content=1693 | ok
      - [leaf] /机器学习/算法/特征工程/特征构建/缺失值处理 | id=ml-missing | content=1723 | ok
      - [leaf] /机器学习/算法/特征工程/特征构建/类别编码 | id=ml-encoding | content=1726 | ok
      - [leaf] /机器学习/算法/特征工程/特征构建/标准化与缩放 | id=ml-scaling | content=1677 | ok
      - [leaf] /机器学习/算法/特征工程/特征风险/数据泄露 | id=ml-leakage | content=1427 | ok
      - [leaf] /机器学习/算法/特征工程/特征风险/特征选择 | id=ml-feat-selection | content=1697 | ok
      - [leaf] /机器学习/算法/特征工程/特征风险/特征漂移 | id=ml-feat-drift | content=1862 | ok
      - [leaf] /机器学习/算法/核心任务/分类/分类总览 | id=ml-classify | content=1997 | ok
      - [leaf] /机器学习/算法/核心任务/分类/多分类 | id=ml-multiclass | content=1726 | ok
      - [leaf] /机器学习/算法/核心任务/分类/阈值与决策 | id=ml-threshold | content=1774 | ok
      - [leaf] /机器学习/算法/核心任务/分类/样本不平衡 | id=ml-imbalance | content=1713 | ok
      - [leaf] /机器学习/算法/核心任务/分类/分类指标 | id=ml-metrics-clf | content=1725 | ok
      - [leaf] /机器学习/算法/核心任务/回归/回归预测 | id=ml-predict | content=1813 | ok
      - [leaf] /机器学习/算法/核心任务/回归/回归指标 | id=ml-metrics-reg | content=1692 | ok
      - [leaf] /机器学习/算法/核心任务/回归/分位数回归 | id=ml-quantile-reg | content=1762 | ok
      - [leaf] /机器学习/算法/核心任务/聚类/聚类总览 | id=ml-cluster | content=1661 | ok
      - [leaf] /机器学习/算法/核心任务/聚类/K-Means 实务 | id=ml-cluster-k | content=1740 | ok
      - [leaf] /机器学习/算法/核心任务/聚类/密度聚类 DBSCAN | id=ml-dbscan | content=1648 | ok
      - [leaf] /机器学习/算法/核心任务/排序学习/Learning to Rank | id=ml-ltr-intro | content=1723 | ok
      - [leaf] /机器学习/算法/核心任务/排序学习/NDCG 与排序指标 | id=ml-ndcg | content=1783 | ok
      - [leaf] /机器学习/算法/经典模型/线性族/逻辑回归 | id=ml-logreg | content=1687 | ok
      - [leaf] /机器学习/算法/经典模型/线性族/线性回归 | id=ml-linear-reg | content=1599 | ok
      - [leaf] /机器学习/算法/经典模型/线性族/Ridge / Lasso | id=ml-ridge-lasso | content=1810 | ok
      - [leaf] /机器学习/算法/经典模型/树与提升/决策树 | id=ml-decision-tree | content=1681 | ok
      - [leaf] /机器学习/算法/经典模型/树与提升/随机森林 | id=ml-random-forest | content=1714 | ok
      - [leaf] /机器学习/算法/经典模型/树与提升/GBDT / 梯度提升 | id=ml-gbdt | content=1331 | ok
      - [leaf] /机器学习/算法/经典模型/树与提升/特征重要性 | id=ml-feat-importance | content=1731 | ok
      - [leaf] /机器学习/算法/经典模型/近邻与SVM/K 近邻 | id=ml-knn | content=1754 | ok
      - [leaf] /机器学习/算法/经典模型/近邻与SVM/支持向量机 | id=ml-svm | content=1728 | ok
      - [leaf] /机器学习/算法/深度学习入门/神经网络基础/多层感知机 MLP | id=ml-mlp | content=1838 | ok
      - [leaf] /机器学习/算法/深度学习入门/神经网络基础/Embedding 嵌入 | id=ml-embedding | content=1732 | ok
      - [leaf] /机器学习/算法/深度学习入门/神经网络基础/Dropout 与早停 | id=ml-nn-regularize | content=1763 | ok
      - [leaf] /机器学习/算法/推荐系统/推荐总览/推荐总览 | id=ml-recommend | content=1801 | ok
      - [leaf] /机器学习/算法/推荐系统/推荐总览/协同过滤 | id=ml-cf | content=1606 | ok
      - [leaf] /机器学习/算法/推荐系统/推荐总览/内容推荐 | id=ml-content-rec | content=1578 | ok
      - [leaf] /机器学习/算法/推荐系统/召回与精排/召回与精排 | id=ml-recall-rank | content=1695 | ok
      - [leaf] /机器学习/算法/推荐系统/召回与精排/冷启动 | id=ml-cold-start | content=1590 | ok
      - [leaf] /机器学习/算法/推荐系统/召回与精排/多样性与打散 | id=ml-diversity | content=1628 | ok
      - [leaf] /机器学习/算法/文本挖掘/文本表示与分类/词袋与 TF-IDF | id=ml-tfidf | content=1692 | ok
      - [leaf] /机器学习/算法/文本挖掘/文本表示与分类/文本分类 | id=ml-text-clf | content=1804 | ok
      - [leaf] /机器学习/算法/文本挖掘/文本表示与分类/情感分析 | id=ml-sentiment | content=1512 | ok
      - [leaf] /机器学习/算法/时序预测/时序基础/时序切分 | id=ml-ts-split | content=1606 | ok
      - [leaf] /机器学习/算法/时序预测/时序基础/滞后与窗口特征 | id=ml-lag-features | content=1684 | ok
      - [leaf] /机器学习/算法/时序预测/时序基础/业务预测闭环 | id=ml-ts-forecast | content=1609 | ok
      - [leaf] /机器学习/算法/异常检测/检测方法/异常检测总览 | id=ml-anomaly | content=1670 | ok
      - [leaf] /机器学习/算法/异常检测/检测方法/隔离森林 | id=ml-isolation-forest | content=1674 | ok
      - [leaf] /机器学习/算法/异常检测/检测方法/告警阈值 | id=ml-alert-threshold | content=1611 | ok
      - [leaf] /机器学习/算法/评估与落地/离线评估/时间切分评估 | id=ml-time-split | content=1149 | ok
      - [leaf] /机器学习/算法/评估与落地/离线评估/概率校准 | id=ml-calibration | content=1659 | ok
      - [leaf] /机器学习/算法/评估与落地/离线评估/上线与A/B | id=ml-ab-test | content=1550 | ok
      - [leaf] /机器学习/算法/评估与落地/MLOps入门/训练与推理 | id=ml-train-serve | content=1619 | ok
      - [leaf] /机器学习/算法/评估与落地/MLOps入门/监控与漂移 | id=ml-monitor | content=1551 | ok
      - [leaf] /机器学习/算法/评估与落地/MLOps入门/特征仓库入门 | id=ml-feature-store | content=1618 | ok

==================== hub-python.json
      - [leaf] /Python/学习路径/教程宪法/统一样例与课模板 | id=py-constitution | content=2269 | ok
      - [leaf] /Python/学习路径/路线清单/初级清单 | id=py-path-junior | content=728 | ok
      - [leaf] /Python/学习路径/路线清单/中级清单 | id=py-path-mid | content=735 | ok
      - [leaf] /Python/学习路径/路线清单/高级清单 | id=py-path-senior | content=718 | ok
      - [leaf] /Python/学习路径/练习场/初级练习 | id=py-drill-junior | content=2072 | ok
      - [leaf] /Python/学习路径/练习场/中级练习 | id=py-drill-mid | content=1924 | ok
      - [leaf] /Python/pandas 数据表/表结构与筛选/DataFrame 基础 | id=py-dataframe | content=1741 | ok
      - [leaf] /Python/pandas 数据表/表结构与筛选/筛选与赋值 | id=py-filter | content=1636 | ok
      - [leaf] /Python/pandas 数据表/清洗与聚合/缺失与类型 | id=py-na | content=1663 | ok
      - [leaf] /Python/pandas 数据表/清洗与聚合/groupby 聚合 | id=py-group | content=1528 | ok
      - [leaf] /Python/pandas 数据表/清洗与聚合/merge 关联 | id=py-merge | content=1684 | ok
      - [leaf] /Python/pandas 数据表/清洗与聚合/透视与变形 | id=py-pivot | content=1737 | ok
      - [leaf] /Python/pandas 数据表/清洗与聚合/transform 与 rolling | id=py-transform | content=2062 | ok
      - [leaf] /Python/pandas 数据表/清洗与聚合/时间索引 | id=py-datetime | content=1730 | ok
      - [leaf] /Python/pandas 数据表/读写与落地/read_csv / to_csv | id=py-read-csv | content=1719 | ok
      - [leaf] /Python/pandas 数据表/读写与落地/to_sql / read_sql | id=py-to-sql | content=1833 | ok
      - [leaf] /Python/pandas 数据表/读写与落地/Parquet 列存文件 | id=py-parquet | content=1710 | ok
      - [leaf] /Python/可视化/常用图/折线趋势 | id=py-line | content=1663 | ok
      - [leaf] /Python/可视化/常用图/柱状对比 | id=py-bar | content=1692 | ok
      - [leaf] /Python/可视化/常用图/Seaborn 分布 | id=py-seaborn | content=1670 | ok
      - [leaf] /Python/生态与加速/核心库/NumPy 向量化 | id=py-numpy | content=1714 | ok
      - [leaf] /Python/生态与加速/核心库/DuckDB 内嵌 SQL | id=py-duckdb | content=1681 | ok
      - [leaf] /Python/生态与加速/核心库/Polars 直觉 | id=py-polars | content=1751 | ok
      - [leaf] /Python/生态与加速/核心库/sklearn 基线 | id=py-sklearn | content=2033 | ok
      - [leaf] /Python/生态与加速/核心库/Streamlit 小应用 | id=py-streamlit | content=1769 | ok
      - [leaf] /Python/生态与加速/工程化/性能与内存 | id=py-perf | content=1835 | ok
      - [leaf] /Python/生态与加速/工程化/可复现环境 | id=py-repro | content=1722 | ok

==================== hub-query.json
    - [leaf] /SQL/基础查询/SELECT | id=SQL.基础查询.SELECT | content=421 | ok
    - [leaf] /SQL/基础查询/WHERE | id=SQL.基础查询.WHERE | content=428 | ok
    - [leaf] /SQL/基础查询/ORDER BY | id=SQL.基础查询.ORDER BY | content=415 | ok
    - [leaf] /SQL/基础查询/LIMIT | id=SQL.基础查询.LIMIT | content=418 | ok
    - [leaf] /SQL/多表操作/JOIN | id=SQL.多表操作.JOIN | content=504 | ok
    - [leaf] /SQL/多表操作/子查询 | id=SQL.多表操作.子查询 | content=457 | ok
    - [leaf] /SQL/多表操作/UNION | id=SQL.多表操作.UNION | content=498 | ok
    - [leaf] /SQL/聚合分析/GROUP BY | id=SQL.聚合分析.GROUP BY | content=505 | ok
    - [leaf] /SQL/聚合分析/HAVING | id=SQL.聚合分析.HAVING | content=495 | ok
    - [leaf] /SQL/聚合分析/窗口函数 | id=SQL.聚合分析.窗口函数 | content=580 | ok
    - [leaf] /SQL/数据定义/CREATE TABLE 建表 | id=SQL.数据定义.CREATE TABLE 建表 | content=530 | ok
    - [leaf] /SQL/数据定义/约束与类型对齐 | id=SQL.数据定义.约束与类型对齐 | content=506 | ok
    - [leaf] /SQL/数据定义/ALTER 变更与视图 | id=SQL.数据定义.ALTER 变更与视图 | content=468 | ok
    - [leaf] /SQL/性能优化/索引设计原则 | id=SQL.性能优化.索引设计原则 | content=431 | ok
    - [leaf] /SQL/性能优化/读懂 EXPLAIN | id=SQL.性能优化.读懂 EXPLAIN | content=451 | ok
    - [leaf] /SQL/性能优化/慢查询改写 | id=SQL.性能优化.慢查询改写 | content=451 | ok
    - [leaf] /SQL/事务与安全/事务与 ACID | id=SQL.事务与安全.事务与 ACID | content=448 | ok
    - [leaf] /SQL/事务与安全/隔离级别直觉 | id=SQL.事务与安全.隔离级别直觉 | content=439 | ok
    - [leaf] /SQL/事务与安全/权限与注入防护 | id=SQL.事务与安全.权限与注入防护 | content=425 | ok

==================== hub-viz.json
    - [leaf] /BI/Tableau/入门准备 | id=BI.Tableau.入门准备 | content=445 | ok
    - [leaf] /BI/Tableau/数据准备 | id=BI.Tableau.数据准备 | content=431 | ok
      - [leaf] /BI/Tableau/图表制作/柱状图 | id=BI.Tableau.图表制作.柱状图 | content=399 | ok
      - [leaf] /BI/Tableau/图表制作/折线图 | id=BI.Tableau.图表制作.折线图 | content=374 | ok
      - [leaf] /BI/Tableau/图表制作/饼图 | id=BI.Tableau.图表制作.饼图 | content=371 | ok
      - [leaf] /BI/Tableau/图表制作/环形图 | id=BI.Tableau.图表制作.环形图 | content=423 | ok
      - [leaf] /BI/Tableau/图表制作/双轴组合图 | id=BI.Tableau.图表制作.双轴组合图 | content=399 | ok
      - [leaf] /BI/Tableau/图表制作/热力图 | id=BI.Tableau.图表制作.热力图 | content=373 | ok
      - [leaf] /BI/Tableau/计算/基础计算 | id=BI.Tableau.计算.基础计算 | content=413 | ok
      - [leaf] /BI/Tableau/计算/表计算 | id=BI.Tableau.计算.表计算 | content=356 | ok
        - [leaf] /BI/Tableau/计算/LOD/FIXED | id=BI.Tableau.计算.LOD.FIXED | content=500 | ok
        - [leaf] /BI/Tableau/计算/LOD/INCLUDE | id=BI.Tableau.计算.LOD.INCLUDE | content=492 | ok
        - [leaf] /BI/Tableau/计算/LOD/EXCLUDE | id=BI.Tableau.计算.LOD.EXCLUDE | content=494 | ok
    - [leaf] /BI/Tableau/筛选与交互 | id=BI.Tableau.筛选与交互 | content=343 | ok
    - [leaf] /BI/Tableau/仪表板 | id=BI.Tableau.仪表板 | content=331 | ok
    - [leaf] /BI/Tableau/性能优化 | id=BI.Tableau.性能优化 | content=358 | ok
    - [leaf] /BI/Tableau/实战案例 | id=BI.Tableau.实战案例 | content=356 | ok
    - [leaf] /BI/Power BI/入门与界面 | id=BI.Power BI.入门与界面 | content=449 | ok
    - [leaf] /BI/Power BI/数据建模 | id=BI.Power BI.数据建模 | content=417 | ok
    - [leaf] /BI/Power BI/DAX 度量 | id=BI.Power BI.DAX 度量 | content=479 | ok
    - [leaf] /BI/Power BI/可视化与图表 | id=BI.Power BI.可视化与图表 | content=377 | ok
    - [leaf] /BI/Power BI/仪表板与交互 | id=BI.Power BI.仪表板与交互 | content=401 | ok
    - [leaf] /BI/Power BI/发布与权限 | id=BI.Power BI.发布与权限 | content=401 | ok
    - [leaf] /BI/国产 BI/FineBI 自助分析 | id=BI.国产 BI.FineBI 自助分析 | content=404 | ok
    - [leaf] /BI/国产 BI/FineReport 固定报表 | id=BI.国产 BI.FineReport 固定报表 | content=434 | ok
    - [leaf] /BI/国产 BI/Datart 开源可视化 | id=BI.国产 BI.Datart 开源可视化 | content=435 | ok
    - [leaf] /BI/国产 BI/永洪 BI | id=BI.国产 BI.永洪 BI | content=357 | ok
    - [leaf] /BI/国产 BI/国产 BI 选型对比 | id=BI.国产 BI.国产 BI 选型对比 | content=433 | ok
